model,temperature,load,run_dir,metric,mean,min,max,std,median
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,pending_pods,44.9,0.0,244.0,82.6181126773838,3.0
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,time_with_pending,0.5,0.0,1.0,0.5042194840896107,0.5
anthropic-claude-sonnet-4.5,1.0,varia,anthropic-claude-sonnet-4.5_input_varia_v2_1_20260802_080813,wokloads_with_pending_pods,0.0927272335476053,0.0,0.4235294117647059,0.1491176265638642,0.0078125
google-gemini-2.5-pro,0.0,const,google-gemini-2.5-pro_input_const_v2_0_20260812_084728,cost,0.10752,0.10752,0.10752,4.1984706052567766e-17,0.10752
google-gemini-2.5-pro,0.0,const,google-gemini-2.5-pro_input_const_v2_0_20260812_084728,cpu_usage,0.86965,0.669,0.925,0.0281375706370669,0.8705
google-gemini-2.5-pro,0.0,const,google-gemini-2.5-pro_input_const_v2_0_20260812_084728,mem_usage,0.8612166666666669,0.663,0.916,0.0278257846930739,0.862
google-gemini-2.5-pro,0.0,const,google-gemini-2.5-pro_input_const_v2_0_20260812_084728,number_of_migrations,13.0,2.0,24.0,9.018499505645789,13.0
google-gemini-2.5-pro,0.0,const,google-gemini-2.5-pro_input_const_v2_0_20260812_084728,pending_pods,0.1166666666666666,0.0,7.0,0.9036961141150636,0.0
google-gemini-2.5-pro,0.0,const,google-gemini-2.5-pro_input_const_v2_0_20260812_084728,time_with_pending,0.0166666666666666,0.0,1.0,0.1290994448735807,0.0
google-gemini-2.5-pro,0.0,const,google-gemini-2.5-pro_input_const_v2_0_20260812_084728,wokloads_with_pending_pods,0.0008333333333333,0.0,0.05,0.006454972243679,0.0
google-gemini-2.5-pro,0.0,const,google-gemini-2.5-pro_input_const_v2_0_20260812_092838,cost,0.10752,0.10752,0.10752,4.1984706052567766e-17,0.10752
